N_count,S_count,E_count,W_count,N_queue,S_queue,E_queue,W_queue,N_arrival,S_arrival,E_arrival,W_arrival,N_speed,S_speed,E_speed,W_speed,N_queue_growth,S_queue_growth,E_queue_growth,W_queue_growth,current_phase,elapsed_phase_time,scenario_id,cycle_idx,archetype,true_N_rate,true_S_rate,true_E_rate,true_W_rate,target_plan,best_delay
14.0,14.0,4.0,5.0,0.0,0.0,0.0,2.0,10.0,16.0,22.0,16.0,0.85,1.23,13.28,11.8,-10.0,-10.0,0.0,2.0,0.0,0.0,36,2,slight_ew,15.7,13.9,19.8,22.6,P3,17.57
15.0,18.0,4.0,9.0,1.0,0.0,0.0,4.0,12.0,18.0,20.0,12.0,1.69,0.75,11.97,10.06,-9.0,-13.0,-1.0,2.0,0.0,0.0,36,3,slight_ew,15.7,13.9,19.8,22.6,P3,17.78
17.0,4.0,19.0,8.0,2.0,0.0,14.0,2.0,24.0,6.0,28.0,22.0,2.44,2.54,9.96,11.0,-5.0,-2.0,2.0,-1.0,0.0,0.0,37,1,moderate_ew,11.9,10.2,28.3,21.8,P1,30.73
18.0,14.0,32.0,8.0,0.0,0.0,26.0,4.0,10.0,14.0,30.0,24.0,1.1,1.86,10.8,10.38,-14.0,-8.0,-1.0,3.0,0.0,0.0,37,2,moderate_ew,11.9,10.2,28.3,21.8,P1,37.8
10.0,10.0,32.0,14.0,0.0,0.0,28.0,8.0,12.0,8.0,22.0,26.0,2.71,2.42,10.23,10.21,-5.0,-7.0,1.0,3.0,0.0,0.0,37,3,moderate_ew,11.9,10.2,28.3,21.8,P1,40.98
15.0,19.0,5.0,3.0,1.0,8.0,2.0,0.0,18.0,38.0,14.0,14.0,0.41,4.76,11.01,11.82,-11.0,2.0,1.0,0.0,0.0,0.0,38,1,balanced,14.6,14.5,14.7,15.5,P5,19.15
9.0,18.0,10.0,3.0,0.0,3.0,4.0,0.0,14.0,16.0,24.0,10.0,2.55,2.28,10.84,12.92,-4.0,-8.0,3.0,0.0,0.0,0.0,38,2,balanced,14.6,14.5,14.7,15.5,P1,20.93
23.0,12.0,12.0,3.0,0.0,0.0,8.0,0.0,22.0,10.0,30.0,10.0,0.97,0.71,10.58,13.52,-16.0,-10.0,3.0,0.0,0.0,0.0,38,3,balanced,14.6,14.5,14.7,15.5,P4,20.44
20.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,24.0,14.0,8.0,6.0,0.74,1.72,13.75,12.38,-14.0,-5.0,0.0,0.0,0.0,0.0,40,1,random_mix,28.5,13.2,11.8,18.2,P5,21.48
28.0,6.0,3.0,5.0,12.0,0.0,0.0,0.0,34.0,8.0,12.0,14.0,2.0,6.7,12.12,10.99,-7.0,-3.0,0.0,-2.0,0.0,0.0,40,2,random_mix,28.5,13.2,11.8,18.2,P6,30.09
38.0,2.0,4.0,8.0,23.0,0.0,0.0,0.0,32.0,0.0,16.0,18.0,2.55,0.25,12.74,13.29,-6.0,-2.0,0.0,0.0,0.0,0.0,40,3,random_mix,28.5,13.2,11.8,18.2,P6,38.46
29.0,29.0,4.0,3.0,11.0,10.0,1.0,0.0,24.0,34.0,12.0,10.0,1.49,1.27,12.16,13.47,-12.0,-7.0,1.0,0.0,0.0,0.0,41,1,moderate_ns,26.3,22.2,13.4,9.4,P7,35.58
32.0,25.0,3.0,3.0,19.0,12.0,0.0,0.0,30.0,22.0,8.0,12.0,3.47,3.52,13.41,11.42,-6.0,-4.0,0.0,0.0,0.0,0.0,41,2,moderate_ns,26.3,22.2,13.4,9.4,P7,39.35
34.0,20.0,2.0,3.0,21.0,7.0,0.0,0.0,16.0,18.0,6.0,10.0,3.28,3.35,12.68,12.33,-6.0,-5.0,0.0,0.0,0.0,0.0,41,3,moderate_ns,26.3,22.2,13.4,9.4,P7,44.14
28.0,13.0,2.0,27.0,11.0,0.0,0.0,21.0,26.0,18.0,6.0,32.0,1.82,1.88,13.25,10.99,-5.0,-9.0,0.0,1.0,0.0,0.0,42,1,random_mix,28.5,20.8,8.3,32.0,P4,43.16
39.0,20.0,0.0,36.0,22.0,2.0,0.0,31.0,28.0,24.0,4.0,22.0,1.7,1.66,13.92,10.4,-8.0,-12.0,0.0,0.0,0.0,0.0,42,2,random_mix,28.5,20.8,8.3,32.0,P4,55.01
54.0,19.0,1.0,41.0,35.0,1.0,0.0,35.0,38.0,12.0,8.0,24.0,1.38,1.54,13.95,11.2,-5.0,-11.0,0.0,0.0,0.0,0.0,42,3,random_mix,28.5,20.8,8.3,32.0,P7,65.01
21.0,22.0,1.0,6.0,1.0,4.0,0.0,2.0,24.0,16.0,8.0,20.0,1.27,1.53,13.63,10.86,-12.0,-12.0,0.0,2.0,0.0,0.0,43,1,balanced,23.0,22.8,20.8,21.7,P6,21.69
11.0,23.0,5.0,5.0,0.0,9.0,1.0,0.0,12.0,24.0,16.0,20.0,2.6,2.69,10.94,12.53,-6.0,-7.0,1.0,-1.0,0.0,0.0,43,2,balanced,23.0,22.8,20.8,21.7,P6,25.25
20.0,24.0,2.0,2.0,5.0,10.0,1.0,0.0,30.0,18.0,14.0,10.0,2.56,2.96,11.57,13.4,-6.0,-6.0,1.0,0.0,0.0,0.0,43,3,balanced,23.0,22.8,20.8,21.7,P5,31.34
15.0,18.0,4.0,5.0,2.0,0.0,1.0,2.0,18.0,20.0,14.0,16.0,3.26,1.44,12.17,10.84,-6.0,-12.0,1.0,1.0,0.0,0.0,44,1,slight_ns,24.2,22.4,13.7,13.0,P4,25.7
32.0,23.0,1.0,6.0,15.0,5.0,0.0,0.0,24.0,28.0,10.0,16.0,1.77,1.48,13.61,12.62,-7.0,-11.0,0.0,0.0,0.0,0.0,44,2,slight_ns,24.2,22.4,13.7,13.0,P7,35.24
31.0,22.0,11.0,2.0,19.0,9.0,6.0,0.0,22.0,24.0,20.0,8.0,3.61,3.53,10.72,13.5,-2.0,-4.0,2.0,0.0,0.0,0.0,44,3,slight_ns,24.2,22.4,13.7,13.0,P7,42.62
29.0,29.0,5.0,4.0,11.0,11.0,1.0,0.0,30.0,34.0,22.0,12.0,1.53,1.58,12.37,12.37,-11.0,-9.0,1.0,0.0,0.0,0.0,45,1,moderate_ns,26.9,24.5,11.3,11.1,P7,39.93
32.0,34.0,2.0,3.0,19.0,21.0,0.0,2.0,22.0,22.0,10.0,14.0,3.17,3.13,13.21,9.1,-8.0,-3.0,0.0,2.0,0.0,0.0,45,2,moderate_ns,26.9,24.5,11.3,11.1,P7,51.06
40.0,45.0,2.0,3.0,26.0,32.0,0.0,0.0,28.0,32.0,8.0,10.0,2.89,3.39,14.35,12.82,-5.0,-4.0,0.0,0.0,0.0,0.0,45,3,moderate_ns,26.9,24.5,11.3,11.1,P7,62.59
12.0,8.0,18.0,2.0,0.0,0.0,12.0,0.0,14.0,14.0,32.0,14.0,1.65,5.66,11.26,11.87,-7.0,-3.0,3.0,0.0,0.0,0.0,47,1,slight_ew,13.9,13.2,23.4,17.4,P2,29.23
10.0,7.0,32.0,1.0,0.0,0.0,26.0,0.0,8.0,8.0,28.0,10.0,0.75,1.68,10.78,12.69,-7.0,-4.0,4.0,0.0,0.0,0.0,47,2,slight_ew,13.9,13.2,23.4,17.4,P2,35.16
13.0,6.0,29.0,4.0,0.0,0.0,24.0,0.0,16.0,4.0,20.0,14.0,1.81,2.04,11.48,11.7,-7.0,-5.0,2.0,0.0,0.0,0.0,47,3,slight_ew,13.9,13.2,23.4,17.4,P1,37.75
15.0,17.0,6.0,16.0,0.0,2.0,0.0,10.0,20.0,26.0,16.0,28.0,1.18,2.23,10.9,9.35,-12.0,-6.0,-1.0,0.0,0.0,0.0,48,1,slight_ew,13.2,15.3,22.0,22.1,P2,27.25
